Date,total_usage,xgboost_pred,ridge_pred,en_pred,prophet_pred,avg_usage_plags,avg_usage_plags_week,ensemble_preds,sarimax_preds
6/3/2024,2094.96,2267.851021,2141.591735,2201.356508,1886.713563,1973.624603,2061.988277,1849.377458,2086.995466
6/4/2024,2204.99,2201.927873,2176.094537,2355.750795,1971.464241,2149.334704,2178.333426,1960.126677,2171.382461
6/5/2024,2214.43,2006.323923,2088.677606,2118.401017,1935.14134,2082.071391,2092.349096,1969.829852,2092.263734
6/6/2024,1870.68,2011.461311,1760.029526,1870.137439,1788.826737,1787.289732,1887.350787,1811.301656,1898.48754
6/7/2024,1337.248,1429.526191,1226.367939,1328.063032,1257.204073,1364.614017,1254.392723,1409.663045,1283.543855
6/8/2024,1260.744,992.6980122,1180.613224,1274.829732,966.7566062,1206.868318,1050.905362,1235.017397,1067.696011
6/9/2024,1781.6,1542.707989,1498.210831,1569.900991,1444.322461,1531.218771,1484.768787,1535.484407,1500.963141
6/10/2024,2026.83,2108.355127,2145.267709,2226.626362,1985.759311,1965.388257,2050.642638,1969.787974,2087.199628
6/11/2024,2035.21,2000.165226,2202.034905,2272.773372,2060.329611,2139.509352,2169.035574,2032.308018,2171.586623
6/12/2024,2012.16,1915.866021,2110.377843,2075.698492,2011.428926,2076.20776,2085.341755,2005.402376,2092.467897
6/13/2024,2214.42,1941.741192,1763.455788,1717.960603,1850.490443,1780.584218,1879.749191,1850.17039,1898.691703
6/14/2024,1030.184,1549.575334,1552.881854,1747.838295,1302.593228,1360.226737,1248.48217,1474.977738,1283.748017
6/15/2024,1095.16,775.3565922,968.5743495,1029.152756,994.649354,1202.687972,1049.868277,1194.130717,1067.900174
6/16/2024,1721.87,1615.79501,1467.470341,1544.100109,1453.947715,1516.226514,1481.235596,1500.235703,1501.167303
6/17/2024,2076.09,2084.373204,2065.687619,2006.62472,1976.806912,1952.564324,2046.172957,1960.573399,2087.403791
6/18/2024,1856.008,2184.746891,2058.934229,2109.021553,2032.948628,2124.021363,2166.214617,1999.214471,2171.790786
6/19/2024,2160.976,1762.476506,1924.256369,1995.554741,1966.214354,2063.153615,2083.1075,1926.903362,2092.672059
6/20/2024,1830.85,1764.845232,1923.992591,1892.352723,1788.458892,1766.498173,1880.224404,1891.67826,1898.895865
6/21/2024,1241.88,1145.705286,1168.411678,1209.172205,1225.148445,1349.640983,1242.491894,1394.329803,1283.95218
6/22/2024,1117.171,1126.208072,1066.279443,1263.227945,903.5387063,1192.875235,1046.447213,1161.466629,1068.104336
6/23/2024,1796.274,1489.139292,1527.457781,1524.560583,1351.210986,1516.437559,1481.687404,1477.806814,1501.371466
6/24/2024,2045.698,2057.339857,2104.483687,2040.923188,1864.718924,1950.081939,2052.457213,1954.777477,2087.607953
6/25/2024,2260.54,2043.192566,1982.710284,2063.805999,1913.957368,2121.893743,2165.541085,1976.227805,2171.994948
6/26/2024,2361.142,2150.015258,2182.010715,2269.047087,1842.876348,2059.378609,2083.361181,2002.647039,2092.876222
6/27/2024,1627.542,2038.002291,1894.868845,2074.504469,1663.373617,1764.250765,1878.638872,1855.416355,1899.100028
6/28/2024,990.36,946.5316851,780.0270767,1007.316623,1100.893565,1346.611816,1238.89817,1332.073241,1284.156342
6/29/2024,990.358,891.375625,761.6820983,1114.911697,782.6078281,1188.601978,1041.747862,1103.800829,1068.308499
6/30/2024,1994.34,1343.473356,1192.285188,1430.371376,1235.955551,1509.895939,1485.976809,1404.764727,1501.575628
7/1/2024,2460.704,2136.618809,1828.783173,2332.966062,1757.295672,1950.645709,2055.39017,1678.585011,2087.812116
7/2/2024,1848.672,2137.365255,2167.654568,2478.628027,1816.28263,2122.03286,2170.289489,1879.301057,2172.199111
7/3/2024,541.816,1694.374011,1923.395733,1888.087331,1756.588203,2054.157039,2085.655532,1873.040615,2093.080385
7/4/2024,51.352,524.4119854,842.7689712,419.8444575,1589.802691,1747.010709,1876.419851,1555.920473,1899.30419
7/5/2024,135.192,232.6518199,365.303279,20.53480177,1041.042977,1318.204575,1233.14317,1129.288203,1284.360505
7/6/2024,579.544,453.3450151,800.1806035,497.3214575,737.1425408,1171.205106,1041.13933,982.0864049,1068.512661
7/7/2024,1400.128,1499.875421,1642.809717,1324.514017,1205.201075,1508.91348,1499.488511,1333.243233,1501.779791
7/8/2024,2349.616,2132.260874,2085.210185,1830.376058,1741.245829,1949.562749,2068.954787,1670.551711,2088.016278
7/9/2024,2025.784,2233.861865,2216.140596,1958.514262,1814.615812,2110.698235,2170.167489,1740.332523,2172.403273
7/10/2024,1967.096,2048.102787,1674.00888,1288.978198,1768.691342,2033.01762,2070.683255,1557.422212,2093.284547
7/11/2024,2023.688,1877.365264,1611.75954,1305.574587,1614.801946,1725.130888,1850.542426,1440.394248,1899.508353
7/12/2024,964.16,1333.763745,1391.141538,1481.865841,1077.839991,1309.895492,1214.915851,1172.284254,1284.564667
7/13/2024,404.528,817.794964,811.865452,954.5161167,784.4549729,1172.782804,1034.677032,968.8441348,1068.716824
7/14/2024,1119.264,1101.030197,1235.329557,1220.956894,1261.606045,1505.571637,1495.936043,1247.030628,1501.983953
7/15/2024,2351.712,1857.753319,1999.510223,1772.46388,1805.224855,1947.370168,2075.837191,1681.411875,2088.220441
7/16/2024,2096,2281.037806,2240.578119,2139.742267,1884.59984,2108.724816,2174.960298,1780.703451,2172.607436
7/17/2024,2276.256,2029.065483,1906.869147,1750.090097,1843.104488,2026.033821,2067.332362,1754.815643,2093.48871
7/18/2024,2241.672,1898.164051,1921.349778,1955.315634,1692.102689,1727.784073,1854.812723,1667.636178,1899.712515
7/19/2024,1370.784,1497.937564,1467.543999,1542.944247,1156.558648,1309.69376,1218.443617,1309.68268,1284.76883
7/20/2024,909.664,1057.373905,1102.989177,1130.020859,863.2264718,1184.562749,1039.779564,1061.527503,1068.920986
7/21/2024,1715.576,1573.527464,1633.9326,1526.950398,1339.197172,1514.709648,1492.473851,1333.530431,1502.188116
7/22/2024,2092.856,2180.64024,2363.123989,2385.036682,1880.555384,1962.96343,2082.894447,1797.111999,2088.424603
7/23/2024,2051.984,2017.701367,2054.532213,2021.470472,1956.757147,2120.66048,2176.712957,1835.133842,2172.811599
7/24/2024,2127.44,2188.752875,1970.295082,2166.763509,1911.35151,2033.741788,2067.114979,1775.488967,2093.692872
7/25/2024,2045.696,1900.391447,1975.897605,1988.277664,1755.879283,1739.875246,1862.390298,1720.095962,1899.916678
7/26/2024,1311.048,1444.383561,1286.304411,1293.237784,1215.476655,1315.515872,1221.497702,1338.903996,1284.972992
7/27/2024,1166.424,850.2553059,999.5790201,1072.719862,917.0589728,1184.192453,1035.423702,1111.56678,1069.125149
7/28/2024,1447.288,1595.677113,1647.247392,1647.574637,1387.862629,1517.021324,1492.646255,1416.789567,1502.392278
7/29/2024,2033.12,1988.981115,1953.940092,2021.246494,1924.097495,1963.991184,2083.197809,1724.825431,2088.628766
7/30/2024,2000.632,2090.720788,2070.861186,2059.703707,1995.321388,2112.946827,2171.665021,1821.592894,2173.015761
7/31/2024,2086.56,1965.217236,2003.910633,2073.782528,1945.159422,2024.995095,2053.847426,1762.018879,2093.897035
8/1/2024,1777.408,2016.51575,1910.22723,1918.32678,1785.201608,1731.100117,1849.901,1737.902642,1900.12084
8/2/2024,1379.168,1123.969218,1237.31691,1241.818506,1240.606458,1305.597101,1209.38034,1343.778458,1285.177155
8/3/2024,1318.384,1141.470979,1115.493243,1188.620204,938.2858399,1184.53805,1032.082468,1145.932889,1069.329311
8/4/2024,1223.016,1639.468869,1688.572946,1664.333064,1405.448986,1511.457816,1490.380809,1480.261977,1502.596441
8/5/2024,1831.904,1864.060739,1748.609964,1667.332255,1938.257986,1958.427765,2087.26366,1797.32287,2088.832928
8/6/2024,1607.632,2073.752129,1970.746664,2013.786709,2006.20612,2101.633777,2174.956638,1875.055708,2173.219924
8/7/2024,1655.84,1698.911732,1784.856004,1658.674364,1952.841735,2016.102156,2061.624234,1848.172548,2094.101197
8/8/2024,1258.648,1593.930363,1633.294408,1562.592289,1789.670842,1724.571994,1853.664809,1683.190799,1900.325003
8/9/2024,1291.136,1060.184346,1038.068685,978.6603494,1241.765991,1299.641179,1210.329149,1288.373784,1285.381317
8/10/2024,719.976,944.0082839,1223.238359,1188.204926,935.9564792,1180.430933,1036.523787,1147.141944,1069.533474
8/11/2024,1094.112,1156.145159,1139.536156,904.742793,1399.377576,1500.356274,1488.397149,1319.286085,1502.800603
8/12/2024,1588.768,1661.53241,1769.147403,1616.727015,1928.130902,1951.248883,2092.911681,1693.052118,2089.037091
8/13/2024,1778.456,1779.745814,1808.82004,1632.218688,1991.667136,2086.449788,2175.096447,1733.112914,2173.424086
8/14/2024,1456.72,1820.653834,1788.518532,1687.049572,1933.513548,2002.575888,2059.596681,1728.792028,2094.30536
